,s,d,count,percent
209,11-12,290-300,1.0,0.0006060606060606061
210,11-12,300-310,0.0,0.0
211,11-12,310-320,0.0,0.0
212,11-12,320-330,1.0,0.0006060606060606061
213,11-12,330-340,0.0,0.0
214,11-12,340-350,2.0,0.0012121212121212121
215,11-12,350-360,3.0,0.0018181818181818182
216,12-13,180-190,0.0,0.0
217,12-13,190-200,3.0,0.0018181818181818182
218,12-13,200-210,2.0,0.0012121212121212121
219,12-13,210-220,0.0,0.0
220,12-13,220-230,1.0,0.0006060606060606061
221,12-13,230-240,0.0,0.0
222,12-13,240-250,1.0,0.0006060606060606061
223,12-13,250-260,1.0,0.0006060606060606061
224,12-13,260-270,2.0,0.0012121212121212121
225,12-13,270-280,0.0,0.0
226,12-13,280-290,0.0,0.0
227,12-13,290-300,1.0,0.0006060606060606061
228,12-13,300-310,0.0,0.0
229,12-13,310-320,0.0,0.0
230,12-13,320-330,0.0,0.0
231,12-13,330-340,1.0,0.0006060606060606061
232,12-13,340-350,3.0,0.0018181818181818182
233,12-13,350-360,7.0,0.004242424242424243
234,13-14,180-190,0.0,0.0
235,13-14,190-200,2.0,0.0012121212121212121
236,13-14,200-210,0.0,0.0
237,13-14,210-220,2.0,0.0012121212121212121
238,13-14,220-230,1.0,0.0006060606060606061
239,13-14,230-240,1.0,0.0006060606060606061
240,13-14,240-250,0.0,0.0
241,13-14,250-260,1.0,0.0006060606060606061
242,13-14,260-270,0.0,0.0
243,13-14,270-280,0.0,0.0
244,13-14,280-290,0.0,0.0
245,13-14,290-300,0.0,0.0
246,13-14,300-310,0.0,0.0
247,13-14,310-320,0.0,0.0
248,13-14,320-330,0.0,0.0
249,13-14,330-340,1.0,0.0006060606060606061
250,13-14,340-350,1.0,0.0006060606060606061
251,13-14,350-360,5.0,0.0030303030303030303
252,14-15,180-190,0.0,0.0
253,14-15,190-200,1.0,0.0006060606060606061
254,14-15,200-210,0.0,0.0
255,14-15,210-220,2.0,0.0012121212121212121
256,14-15,220-230,0.0,0.0
257,14-15,230-240,0.0,0.0
258,14-15,240-250,0.0,0.0
259,14-15,250-260,0.0,0.0
260,14-15,260-270,0.0,0.0
261,14-15,270-280,0.0,0.0
262,14-15,280-290,1.0,0.0006060606060606061
263,14-15,290-300,0.0,0.0
264,14-15,300-310,0.0,0.0
265,14-15,310-320,0.0,0.0
266,14-15,320-330,1.0,0.0006060606060606061
267,14-15,330-340,0.0,0.0
268,14-15,340-350,0.0,0.0
269,14-15,350-360,0.0,0.0
270,15-16,180-190,0.0,0.0
271,15-16,190-200,0.0,0.0
272,15-16,200-210,0.0,0.0
273,15-16,210-220,3.0,0.0018181818181818182
274,15-16,220-230,0.0,0.0
275,15-16,230-240,0.0,0.0
276,15-16,240-250,0.0,0.0
277,15-16,250-260,0.0,0.0
278,15-16,260-270,1.0,0.0006060606060606061
279,15-16,270-280,0.0,0.0
280,15-16,280-290,0.0,0.0
281,15-16,290-300,0.0,0.0
282,15-16,300-310,0.0,0.0
283,15-16,310-320,0.0,0.0
284,15-16,320-330,0.0,0.0
285,15-16,330-340,0.0,0.0
286,15-16,340-350,0.0,0.0
287,15-16,350-360,0.0,0.0
