,s,d,count,percent
245,6-7,290-300,6.0,0.0020597322348094747
246,6-7,300-310,3.0,0.0010298661174047373
247,6-7,310-320,4.0,0.0013731548232063166
248,6-7,320-330,11.0,0.0037761757638173706
249,6-7,330-340,16.0,0.0054926192928252664
250,6-7,340-350,11.0,0.0037761757638173706
251,6-7,350-360,11.0,0.0037761757638173706
252,7-8,0-10,5.0,0.0017164435290078957
253,7-8,10-20,2.0,0.0006865774116031583
254,7-8,20-30,0.0,0.0
255,7-8,30-40,0.0,0.0
256,7-8,40-50,0.0,0.0
257,7-8,50-60,2.0,0.0006865774116031583
258,7-8,60-70,5.0,0.0017164435290078957
259,7-8,70-80,0.0,0.0
260,7-8,80-90,0.0,0.0
261,7-8,90-100,0.0,0.0
262,7-8,100-110,0.0,0.0
263,7-8,110-120,0.0,0.0
264,7-8,120-130,0.0,0.0
265,7-8,130-140,0.0,0.0
266,7-8,140-150,0.0,0.0
267,7-8,150-160,2.0,0.0006865774116031583
268,7-8,160-170,0.0,0.0
269,7-8,170-180,1.0,0.00034328870580157915
270,7-8,180-190,0.0,0.0
271,7-8,190-200,1.0,0.00034328870580157915
272,7-8,200-210,1.0,0.00034328870580157915
273,7-8,210-220,1.0,0.00034328870580157915
274,7-8,220-230,4.0,0.0013731548232063166
275,7-8,230-240,2.0,0.0006865774116031583
276,7-8,240-250,2.0,0.0006865774116031583
277,7-8,250-260,2.0,0.0006865774116031583
278,7-8,260-270,2.0,0.0006865774116031583
279,7-8,270-280,4.0,0.0013731548232063166
280,7-8,280-290,0.0,0.0
281,7-8,290-300,1.0,0.00034328870580157915
282,7-8,300-310,2.0,0.0006865774116031583
283,7-8,310-320,1.0,0.00034328870580157915
284,7-8,320-330,2.0,0.0006865774116031583
285,7-8,330-340,12.0,0.004119464469618949
286,7-8,340-350,6.0,0.0020597322348094747
287,7-8,350-360,13.0,0.004462753175420529
288,8-9,0-10,4.0,0.0013731548232063166
289,8-9,10-20,0.0,0.0
290,8-9,20-30,0.0,0.0
291,8-9,30-40,0.0,0.0
292,8-9,40-50,0.0,0.0
293,8-9,50-60,0.0,0.0
294,8-9,60-70,0.0,0.0
295,8-9,70-80,0.0,0.0
296,8-9,80-90,0.0,0.0
297,8-9,90-100,0.0,0.0
298,8-9,100-110,0.0,0.0
299,8-9,110-120,0.0,0.0
300,8-9,120-130,0.0,0.0
301,8-9,130-140,0.0,0.0
302,8-9,140-150,0.0,0.0
303,8-9,150-160,0.0,0.0
304,8-9,160-170,0.0,0.0
305,8-9,170-180,1.0,0.00034328870580157915
306,8-9,180-190,0.0,0.0
307,8-9,190-200,3.0,0.0010298661174047373
308,8-9,200-210,2.0,0.0006865774116031583
309,8-9,210-220,0.0,0.0
310,8-9,220-230,0.0,0.0
311,8-9,230-240,1.0,0.00034328870580157915
312,8-9,240-250,1.0,0.00034328870580157915
313,8-9,250-260,2.0,0.0006865774116031583
314,8-9,260-270,2.0,0.0006865774116031583
315,8-9,270-280,3.0,0.0010298661174047373
316,8-9,280-290,1.0,0.00034328870580157915
317,8-9,290-300,0.0,0.0
318,8-9,300-310,1.0,0.00034328870580157915
319,8-9,310-320,0.0,0.0
320,8-9,320-330,0.0,0.0
321,8-9,330-340,4.0,0.0013731548232063166
322,8-9,340-350,9.0,0.003089598352214212
323,8-9,350-360,4.0,0.0013731548232063166
324,9-10,0-10,1.0,0.00034328870580157915
325,9-10,10-20,1.0,0.00034328870580157915
326,9-10,20-30,0.0,0.0
327,9-10,30-40,0.0,0.0
328,9-10,40-50,0.0,0.0
329,9-10,50-60,0.0,0.0
330,9-10,60-70,1.0,0.00034328870580157915
