10-11,300.0,1
10-11,310.0,1
10-11,320.0,1
10-11,340.0,1
11-12,270.0,5
11-12,360.0,3
11-12,10.0,2
11-12,230.0,2
11-12,280.0,2
11-12,350.0,2
11-12,220.0,1
11-12,240.0,1
11-12,250.0,1
11-12,300.0,1
11-12,330.0,1
12-13,360.0,7
12-13,200.0,3
12-13,350.0,3
12-13,210.0,2
12-13,270.0,2
12-13,230.0,1
12-13,250.0,1
12-13,260.0,1
12-13,300.0,1
12-13,340.0,1
13-14,360.0,5
13-14,200.0,2
13-14,220.0,2
13-14,230.0,1
13-14,240.0,1
13-14,260.0,1
13-14,340.0,1
13-14,350.0,1
14-15,220.0,2
14-15,200.0,1
14-15,290.0,1
14-15,330.0,1
15-16,220.0,3
15-16,270.0,1
