Variable,date,Hour,Value
direction,15-01-2015,23:00,140
speed,16-01-2015,02:00,5
direction,16-01-2015,02:00,150
speed,16-01-2015,05:00,5
direction,16-01-2015,05:00,140
speed,16-01-2015,08:00,6
direction,16-01-2015,08:00,140
speed,16-01-2015,11:00,6.5
direction,16-01-2015,11:00,150
speed,16-01-2015,14:00,4
direction,16-01-2015,14:00,150
speed,16-01-2015,17:00,4.5
direction,16-01-2015,17:00,150
speed,16-01-2015,20:00,4
direction,16-01-2015,20:00,140
speed,16-01-2015,23:00,2
direction,16-01-2015,23:00,100
speed,17-01-2015,02:00,2.5
direction,17-01-2015,02:00,100
speed,17-01-2015,05:00,3
direction,17-01-2015,05:00,90
speed,17-01-2015,08:00,2.5
direction,17-01-2015,08:00,110
speed,17-01-2015,11:00,3.5
direction,17-01-2015,11:00,160
speed,17-01-2015,14:00,3.5
direction,17-01-2015,14:00,210
speed,17-01-2015,17:00,2
direction,17-01-2015,17:00,200
speed,17-01-2015,20:00,2
direction,17-01-2015,20:00,80
speed,17-01-2015,23:00,2.5
direction,17-01-2015,23:00,120
speed,18-01-2015,02:00,2
direction,18-01-2015,02:00,120
speed,18-01-2015,05:00,3
direction,18-01-2015,05:00,120
speed,18-01-2015,08:00,1.5
direction,18-01-2015,08:00,110
speed,18-01-2015,11:00,1.5
direction,18-01-2015,11:00,200
speed,18-01-2015,14:00,2
direction,18-01-2015,14:00,310
speed,18-01-2015,17:00,4.5
direction,18-01-2015,17:00,360
speed,18-01-2015,20:00,1.5
direction,18-01-2015,20:00,90
speed,18-01-2015,23:00,2
direction,18-01-2015,23:00,120
speed,19-01-2015,02:00,2
direction,19-01-2015,02:00,110
speed,19-01-2015,05:00,2.5
direction,19-01-2015,05:00,120
speed,19-01-2015,08:00,3
direction,19-01-2015,08:00,120
speed,19-01-2015,11:00,0.5
direction,19-01-2015,11:00,260
speed,19-01-2015,14:00,2.5
direction,19-01-2015,14:00,350
speed,19-01-2015,17:00,2.5
direction,19-01-2015,17:00,10
speed,19-01-2015,20:00,1.5
direction,19-01-2015,20:00,100
speed,19-01-2015,23:00,2
direction,19-01-2015,23:00,110
speed,20-01-2015,02:00,2.5
direction,20-01-2015,02:00,110
speed,20-01-2015,05:00,2.5
direction,20-01-2015,05:00,110
speed,20-01-2015,08:00,4
direction,20-01-2015,08:00,80
speed,20-01-2015,11:00,4.5
direction,20-01-2015,11:00,50
speed,20-01-2015,14:00,4
direction,20-01-2015,14:00,50
speed,20-01-2015,17:00,3.5
direction,20-01-2015,17:00,60
speed,20-01-2015,20:00,2
direction,20-01-2015,20:00,30
speed,20-01-2015,23:00,2.5
direction,20-01-2015,23:00,20
speed,21-01-2015,02:00,5
direction,21-01-2015,02:00,80
speed,21-01-2015,05:00,5
direction,21-01-2015,05:00,70
speed,21-01-2015,08:00,3
direction,21-01-2015,08:00,100
speed,21-01-2015,11:00,2
direction,21-01-2015,11:00,190
speed,21-01-2015,14:00,4
direction,21-01-2015,14:00,210
speed,21-01-2015,17:00,1.5
direction,21-01-2015,17:00,220
speed,21-01-2015,20:00,1
direction,21-01-2015,20:00,100
speed,21-01-2015,23:00,1
direction,21-01-2015,23:00,90
speed,22-01-2015,02:00,1.5
direction,22-01-2015,02:00,100
speed,22-01-2015,05:00,2.5
direction,22-01-2015,05:00,110
speed,22-01-2015,08:00,2.5
direction,22-01-2015,08:00,100
speed,22-01-2015,11:00,1.5
direction,22-01-2015,11:00,330
speed,22-01-2015,14:00,3
direction,22-01-2015,14:00,340
speed,22-01-2015,17:00,4
direction,22-01-2015,17:00,10
speed,22-01-2015,20:00,2.5
direction,22-01-2015,20:00,80
speed,22-01-2015,23:00,3
direction,22-01-2015,23:00,70
speed,23-01-2015,02:00,4
direction,23-01-2015,02:00,70
